time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-09T00:00,18.4,0.1,100,10.5
2025-06-09T01:00,17.2,2.7,94,10.3
2025-06-09T02:00,16.7,0.2,100,6.7
2025-06-09T03:00,16.5,0.1,100,5.4
2025-06-09T04:00,16.2,0.0,100,4.3
2025-06-09T05:00,16.1,0.0,100,5.1
2025-06-09T06:00,16.0,0.0,100,5.4
2025-06-09T07:00,16.2,0.0,100,6.9
2025-06-09T08:00,16.1,0.0,100,6.9
2025-06-09T09:00,16.3,0.1,100,10.5
2025-06-09T10:00,16.5,0.0,100,11.2
2025-06-09T11:00,17.2,0.0,98,10.9
2025-06-09T12:00,18.2,0.0,94,12.8
2025-06-09T13:00,19.3,0.0,95,12.6
2025-06-09T14:00,19.6,0.0,92,11.4
2025-06-09T15:00,20.9,0.0,99,9.2
2025-06-09T16:00,21.3,0.0,99,10.1
2025-06-09T17:00,21.4,0.0,62,9.7
2025-06-09T18:00,21.6,0.0,39,10.8
2025-06-09T19:00,21.3,0.0,0,9.4
2025-06-09T20:00,20.4,0.0,0,7.6
2025-06-09T21:00,19.0,0.0,0,6.2
2025-06-09T22:00,17.8,0.0,0,3.7
2025-06-09T23:00,17.2,0.0,0,1.5
2025-06-10T00:00,16.4,0.0,0,1.1
2025-06-10T01:00,15.6,0.0,0,1.3
2025-06-10T02:00,14.9,0.0,0,1.8
2025-06-10T03:00,14.2,0.0,0,1.0
2025-06-10T04:00,13.6,0.0,0,1.3
2025-06-10T05:00,12.9,0.0,0,1.3
2025-06-10T06:00,12.8,0.0,0,0.7
2025-06-10T07:00,13.6,0.0,0,0.5
2025-06-10T08:00,15.2,0.0,0,1.0
2025-06-10T09:00,17.2,0.0,0,1.3
2025-06-10T10:00,19.2,0.0,0,3.9
2025-06-10T11:00,20.7,0.0,2,4.8
2025-06-10T12:00,22.6,0.0,0,6.5
2025-06-10T13:00,24.2,0.0,0,6.2
2025-06-10T14:00,25.4,0.0,0,6.3
2025-06-10T15:00,26.1,0.0,0,6.4
2025-06-10T16:00,26.7,0.0,0,5.2
2025-06-10T17:00,27.0,0.0,0,5.2
2025-06-10T18:00,27.0,0.0,2,4.5
2025-06-10T19:00,26.4,0.0,0,7.1
2025-06-10T20:00,25.3,0.0,43,6.2
2025-06-10T21:00,23.9,0.0,100,4.1
2025-06-10T22:00,22.9,0.0,43,1.1
2025-06-10T23:00,21.5,0.0,56,2.1
