time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-09T00:00,16.7,0.0,100,1.8
2025-06-09T01:00,16.6,0.1,100,4.0
2025-06-09T02:00,16.2,0.6,100,1.1
2025-06-09T03:00,15.7,0.4,100,3.7
2025-06-09T04:00,15.5,1.9,100,2.4
2025-06-09T05:00,15.3,0.6,100,0.8
2025-06-09T06:00,15.2,0.1,100,4.1
2025-06-09T07:00,15.1,0.0,100,6.3
2025-06-09T08:00,15.3,0.0,100,5.7
2025-06-09T09:00,15.4,0.0,100,10.3
2025-06-09T10:00,15.6,0.0,100,11.4
2025-06-09T11:00,15.7,0.0,100,10.6
2025-06-09T12:00,15.7,0.0,100,11.5
2025-06-09T13:00,15.5,0.0,100,12.0
2025-06-09T14:00,16.3,0.0,100,12.0
2025-06-09T15:00,17.8,0.0,95,12.2
2025-06-09T16:00,18.9,0.0,63,14.4
2025-06-09T17:00,19.7,0.0,1,14.8
2025-06-09T18:00,19.9,0.0,0,13.9
2025-06-09T19:00,19.6,0.0,0,12.2
2025-06-09T20:00,19.0,0.0,0,8.4
2025-06-09T21:00,17.8,0.0,0,6.7
2025-06-09T22:00,16.8,0.0,0,5.5
2025-06-09T23:00,15.8,0.0,0,3.9
2025-06-10T00:00,15.0,0.0,0,1.4
2025-06-10T01:00,14.5,0.0,0,1.3
2025-06-10T02:00,14.4,0.0,0,1.5
2025-06-10T03:00,13.7,0.0,0,2.6
2025-06-10T04:00,12.7,0.0,0,3.1
2025-06-10T05:00,12.6,0.0,0,2.9
2025-06-10T06:00,12.8,0.0,0,2.1
2025-06-10T07:00,13.8,0.0,0,2.5
2025-06-10T08:00,15.1,0.0,0,3.2
2025-06-10T09:00,16.8,0.0,0,6.0
2025-06-10T10:00,19.5,0.0,0,12.7
2025-06-10T11:00,20.5,0.0,0,13.9
2025-06-10T12:00,21.9,0.0,0,15.8
2025-06-10T13:00,23.0,0.0,1,16.7
2025-06-10T14:00,23.8,0.0,1,15.8
2025-06-10T15:00,24.9,0.0,0,16.0
2025-06-10T16:00,25.3,0.0,0,17.1
2025-06-10T17:00,25.3,0.0,0,16.6
2025-06-10T18:00,25.0,0.0,100,15.0
2025-06-10T19:00,24.3,0.0,7,13.6
2025-06-10T20:00,22.9,0.0,3,10.5
2025-06-10T21:00,21.4,0.0,87,4.4
2025-06-10T22:00,20.1,0.0,100,1.4
2025-06-10T23:00,18.5,0.0,81,2.4
