time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,20.1,0.0,0,5.7
2025-06-06T01:00,18.6,0.0,0,4.4
2025-06-06T02:00,18.1,0.0,0,1.4
2025-06-06T03:00,17.6,0.0,0,1.8
2025-06-06T04:00,17.3,0.0,0,2.9
2025-06-06T05:00,17.0,0.0,94,1.8
2025-06-06T06:00,17.1,0.0,77,2.6
2025-06-06T07:00,18.2,0.0,0,1.5
2025-06-06T08:00,19.9,0.0,0,1.8
2025-06-06T09:00,21.6,0.0,0,4.1
2025-06-06T10:00,23.5,0.0,0,5.8
2025-06-06T11:00,25.6,0.0,0,4.9
2025-06-06T12:00,27.5,0.0,0,4.1
2025-06-06T13:00,29.0,0.0,59,8.2
2025-06-06T14:00,29.3,0.0,66,12.0
2025-06-06T15:00,29.8,0.0,97,15.0
2025-06-06T16:00,29.9,0.0,84,11.9
2025-06-06T17:00,30.0,0.0,43,13.5
2025-06-06T18:00,29.7,0.0,28,14.2
2025-06-06T19:00,28.6,0.0,0,12.2
2025-06-06T20:00,27.2,0.0,0,4.3
2025-06-06T21:00,25.2,0.0,0,0.4
2025-06-06T22:00,22.9,0.0,76,1.3
2025-06-06T23:00,21.6,0.0,0,0.7
2025-06-07T00:00,20.9,0.0,42,2.1
2025-06-07T01:00,20.3,0.0,100,2.6
2025-06-07T02:00,19.9,0.0,96,4.1
2025-06-07T03:00,18.8,0.0,85,3.6
2025-06-07T04:00,17.4,0.0,100,3.6
2025-06-07T05:00,18.1,0.0,100,6.1
2025-06-07T06:00,18.6,0.0,100,5.4
2025-06-07T07:00,19.7,0.0,100,4.6
2025-06-07T08:00,21.9,0.0,100,1.8
2025-06-07T09:00,22.4,0.0,100,5.7
2025-06-07T10:00,23.2,0.0,100,7.4
2025-06-07T11:00,24.4,0.0,73,9.9
2025-06-07T12:00,26.4,0.0,40,13.6
2025-06-07T13:00,30.3,0.0,6,15.0
2025-06-07T14:00,30.8,0.0,49,14.7
2025-06-07T15:00,31.3,0.0,37,15.5
2025-06-07T16:00,31.1,0.0,39,18.1
2025-06-07T17:00,30.8,0.0,0,20.6
2025-06-07T18:00,30.1,0.0,0,15.5
2025-06-07T19:00,28.8,0.0,0,17.1
2025-06-07T20:00,27.5,0.0,0,8.5
2025-06-07T21:00,26.0,0.0,11,1.6
2025-06-07T22:00,22.6,0.0,65,15.6
2025-06-07T23:00,20.9,0.0,3,9.1
