time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-09T00:00,18.4,0.1,100,10.5
2025-06-09T01:00,17.2,2.7,94,10.3
2025-06-09T02:00,16.9,0.2,94,8.5
2025-06-09T03:00,16.8,0.1,100,3.0
2025-06-09T04:00,16.4,0.8,100,4.2
2025-06-09T05:00,15.9,0.5,100,3.5
2025-06-09T06:00,15.9,0.1,99,5.2
2025-06-09T07:00,16.0,0.2,100,4.9
2025-06-09T08:00,15.9,0.4,100,6.5
2025-06-09T09:00,16.0,0.0,100,9.3
2025-06-09T10:00,15.8,0.0,100,9.4
2025-06-09T11:00,16.3,0.0,100,9.4
2025-06-09T12:00,17.3,0.0,95,11.2
2025-06-09T13:00,18.5,0.0,77,11.3
2025-06-09T14:00,19.5,0.0,100,11.9
2025-06-09T15:00,20.1,0.0,99,11.2
2025-06-09T16:00,20.6,0.0,79,9.4
2025-06-09T17:00,21.0,0.0,81,10.8
2025-06-09T18:00,21.2,0.0,30,9.4
2025-06-09T19:00,21.1,0.0,0,8.3
2025-06-09T20:00,20.1,0.0,0,7.2
2025-06-09T21:00,18.6,0.0,0,5.7
2025-06-09T22:00,17.6,0.0,0,3.2
2025-06-09T23:00,16.9,0.0,0,1.1
2025-06-10T00:00,16.2,0.0,0,1.1
2025-06-10T01:00,15.4,0.0,0,1.3
2025-06-10T02:00,14.7,0.0,0,1.0
2025-06-10T03:00,14.0,0.0,0,0.8
2025-06-10T04:00,13.5,0.0,0,0.5
2025-06-10T05:00,13.0,0.0,0,1.0
2025-06-10T06:00,12.6,0.0,0,0.4
2025-06-10T07:00,13.4,0.0,0,0.4
2025-06-10T08:00,14.9,0.0,0,1.1
2025-06-10T09:00,16.9,0.0,0,1.0
2025-06-10T10:00,18.9,0.0,0,3.5
2025-06-10T11:00,20.4,0.0,0,5.0
2025-06-10T12:00,22.3,0.0,0,6.9
2025-06-10T13:00,23.8,0.0,0,6.2
2025-06-10T14:00,25.0,0.0,0,5.8
2025-06-10T15:00,25.8,0.0,0,5.4
2025-06-10T16:00,26.4,0.0,0,4.4
2025-06-10T17:00,26.7,0.0,41,4.2
2025-06-10T18:00,26.7,0.0,0,3.7
2025-06-10T19:00,26.2,0.0,0,5.6
2025-06-10T20:00,25.2,0.0,100,5.6
2025-06-10T21:00,24.0,0.0,100,4.4
2025-06-10T22:00,22.9,0.0,0,0.4
2025-06-10T23:00,21.4,0.0,30,1.6
