time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,18.4,0.0,29,2.9
2025-06-06T01:00,19.3,0.0,70,3.7
2025-06-06T02:00,18.6,0.0,35,4.9
2025-06-06T03:00,18.5,0.0,77,3.5
2025-06-06T04:00,17.9,0.0,11,4.2
2025-06-06T05:00,17.7,0.0,4,3.2
2025-06-06T06:00,17.7,0.0,43,4.1
2025-06-06T07:00,19.3,0.0,0,4.1
2025-06-06T08:00,22.3,0.0,0,3.6
2025-06-06T09:00,24.5,0.0,21,9.0
2025-06-06T10:00,25.5,0.0,39,11.1
2025-06-06T11:00,26.5,0.0,5,13.6
2025-06-06T12:00,26.9,0.0,52,14.8
2025-06-06T13:00,27.4,0.0,12,15.0
2025-06-06T14:00,27.3,0.0,0,15.8
2025-06-06T15:00,27.3,0.0,11,14.5
2025-06-06T16:00,27.5,0.0,70,13.3
2025-06-06T17:00,27.5,0.0,0,12.5
2025-06-06T18:00,27.2,0.0,0,8.6
2025-06-06T19:00,26.7,0.0,0,4.9
2025-06-06T20:00,25.3,0.0,0,3.6
2025-06-06T21:00,24.0,0.0,0,2.1
2025-06-06T22:00,22.5,0.0,0,2.8
2025-06-06T23:00,20.4,0.0,0,2.1
2025-06-07T00:00,19.2,0.0,0,3.7
2025-06-07T01:00,18.8,0.0,15,4.1
2025-06-07T02:00,18.4,0.0,5,4.3
2025-06-07T03:00,18.1,0.0,9,4.3
2025-06-07T04:00,17.4,0.0,7,4.3
2025-06-07T05:00,17.0,0.0,20,4.1
2025-06-07T06:00,17.0,0.0,34,4.3
2025-06-07T07:00,18.9,0.0,48,3.8
2025-06-07T08:00,22.5,0.0,63,2.6
2025-06-07T09:00,25.3,0.0,32,2.0
2025-06-07T10:00,26.4,0.0,0,5.4
2025-06-07T11:00,26.2,0.0,60,9.5
2025-06-07T12:00,27.1,0.0,0,8.2
2025-06-07T13:00,29.4,0.0,0,13.0
2025-06-07T14:00,29.5,0.0,0,15.8
2025-06-07T15:00,29.4,0.0,0,16.2
2025-06-07T16:00,29.1,0.0,0,18.3
2025-06-07T17:00,28.9,0.0,0,15.3
2025-06-07T18:00,28.6,0.0,0,12.8
2025-06-07T19:00,28.1,0.0,0,10.8
2025-06-07T20:00,27.0,0.0,3,8.1
2025-06-07T21:00,25.8,0.0,16,4.6
2025-06-07T22:00,23.5,0.0,41,4.7
2025-06-07T23:00,22.8,0.0,67,4.7
