time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,19.5,0.0,0,1.9
2025-06-06T01:00,19.0,0.0,0,2.1
2025-06-06T02:00,17.7,0.0,100,1.9
2025-06-06T03:00,17.8,0.0,93,0.8
2025-06-06T04:00,17.8,0.0,0,1.5
2025-06-06T05:00,17.4,0.0,0,0.4
2025-06-06T06:00,16.9,0.0,0,1.9
2025-06-06T07:00,17.2,0.0,0,1.6
2025-06-06T08:00,19.0,0.0,25,2.1
2025-06-06T09:00,20.7,0.0,0,4.5
2025-06-06T10:00,23.4,0.0,19,9.4
2025-06-06T11:00,25.2,0.0,58,12.5
2025-06-06T12:00,26.7,0.0,13,13.9
2025-06-06T13:00,27.6,0.0,57,15.1
2025-06-06T14:00,28.0,0.0,0,19.2
2025-06-06T15:00,28.3,0.0,10,16.9
2025-06-06T16:00,28.6,0.0,0,17.4
2025-06-06T17:00,28.0,0.0,0,17.9
2025-06-06T18:00,27.2,0.0,0,17.0
2025-06-06T19:00,26.2,0.0,0,14.3
2025-06-06T20:00,24.8,0.0,5,11.9
2025-06-06T21:00,23.3,0.0,61,10.5
2025-06-06T22:00,22.0,0.0,0,8.7
2025-06-06T23:00,21.3,0.0,0,6.9
2025-06-07T00:00,20.7,0.0,0,7.7
2025-06-07T01:00,20.3,0.0,1,8.0
2025-06-07T02:00,19.9,0.0,0,6.8
2025-06-07T03:00,19.6,0.0,3,5.9
2025-06-07T04:00,19.3,0.0,0,4.7
2025-06-07T05:00,18.7,0.0,0,1.8
2025-06-07T06:00,18.1,0.0,0,0.5
2025-06-07T07:00,18.9,0.0,0,0.0
2025-06-07T08:00,20.2,0.0,31,0.8
2025-06-07T09:00,22.2,0.0,78,0.8
2025-06-07T10:00,24.4,0.0,90,3.9
2025-06-07T11:00,26.6,0.0,5,9.9
2025-06-07T12:00,28.3,0.0,84,14.6
2025-06-07T13:00,29.0,0.0,90,15.9
2025-06-07T14:00,29.4,0.0,90,17.4
2025-06-07T15:00,29.4,0.0,83,16.1
2025-06-07T16:00,29.3,0.0,55,16.4
2025-06-07T17:00,28.8,0.0,0,16.9
2025-06-07T18:00,28.0,0.0,0,16.8
2025-06-07T19:00,26.9,0.0,0,15.4
2025-06-07T20:00,25.6,0.0,0,10.9
2025-06-07T21:00,24.3,0.0,100,8.3
2025-06-07T22:00,23.2,0.0,100,5.4
2025-06-07T23:00,22.5,0.0,32,2.5
