time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,18.4,0.0,29,2.9
2025-06-06T01:00,19.3,0.0,70,3.7
2025-06-06T02:00,18.6,0.0,35,4.9
2025-06-06T03:00,18.5,0.0,77,3.5
2025-06-06T04:00,17.9,0.0,11,4.2
2025-06-06T05:00,17.7,0.0,4,3.2
2025-06-06T06:00,17.7,0.0,43,4.1
2025-06-06T07:00,19.3,0.0,0,4.1
2025-06-06T08:00,22.5,0.0,0,4.7
2025-06-06T09:00,24.4,0.0,55,10.2
2025-06-06T10:00,25.4,0.0,43,11.8
2025-06-06T11:00,26.2,0.0,69,14.8
2025-06-06T12:00,26.8,0.0,79,14.5
2025-06-06T13:00,26.8,0.0,92,16.1
2025-06-06T14:00,26.8,0.0,89,15.8
2025-06-06T15:00,27.0,0.0,17,13.5
2025-06-06T16:00,27.4,0.0,100,13.2
2025-06-06T17:00,27.3,0.0,22,11.5
2025-06-06T18:00,27.3,0.0,0,8.6
2025-06-06T19:00,26.9,0.0,0,6.2
2025-06-06T20:00,25.5,0.0,0,3.9
2025-06-06T21:00,24.3,0.0,0,0.8
2025-06-06T22:00,21.9,0.0,0,2.9
2025-06-06T23:00,20.4,0.0,0,2.5
2025-06-07T00:00,19.6,0.0,27,4.0
2025-06-07T01:00,18.8,0.0,16,4.1
2025-06-07T02:00,18.3,0.0,23,3.8
2025-06-07T03:00,18.3,0.0,35,4.6
2025-06-07T04:00,17.6,0.0,31,3.6
2025-06-07T05:00,17.3,0.0,31,4.1
2025-06-07T06:00,16.9,0.0,31,4.3
2025-06-07T07:00,18.8,0.0,31,3.1
2025-06-07T08:00,22.4,0.0,45,2.4
2025-06-07T09:00,25.6,0.0,0,2.9
2025-06-07T10:00,26.6,0.0,0,6.5
2025-06-07T11:00,27.2,0.0,3,8.5
2025-06-07T12:00,27.8,0.0,0,8.6
2025-06-07T13:00,29.6,0.0,0,15.0
2025-06-07T14:00,29.3,0.0,0,17.1
2025-06-07T15:00,29.2,0.0,0,18.4
2025-06-07T16:00,29.1,0.0,0,18.1
2025-06-07T17:00,29.0,0.0,0,16.4
2025-06-07T18:00,28.6,0.0,0,13.2
2025-06-07T19:00,28.3,0.0,0,12.4
2025-06-07T20:00,27.1,0.0,0,8.8
2025-06-07T21:00,25.6,0.0,41,7.7
2025-06-07T22:00,24.6,0.0,57,5.9
2025-06-07T23:00,23.9,0.0,60,5.5
