time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,19.5,0.0,0,1.9
2025-06-06T01:00,19.0,0.0,0,2.1
2025-06-06T02:00,17.7,0.0,100,1.9
2025-06-06T03:00,17.8,0.0,93,0.8
2025-06-06T04:00,17.8,0.0,0,1.5
2025-06-06T05:00,17.4,0.0,0,0.4
2025-06-06T06:00,16.9,0.0,0,1.9
2025-06-06T07:00,17.2,0.0,0,1.6
2025-06-06T08:00,19.0,0.0,10,2.0
2025-06-06T09:00,20.8,0.0,0,4.4
2025-06-06T10:00,23.0,0.0,2,8.2
2025-06-06T11:00,25.1,0.0,70,11.5
2025-06-06T12:00,26.7,0.0,66,12.4
2025-06-06T13:00,27.6,0.0,0,14.7
2025-06-06T14:00,28.1,0.0,64,16.4
2025-06-06T15:00,28.3,0.0,72,16.8
2025-06-06T16:00,28.2,0.0,1,18.9
2025-06-06T17:00,27.7,0.0,0,18.3
2025-06-06T18:00,27.0,0.0,0,16.0
2025-06-06T19:00,26.1,0.0,0,13.8
2025-06-06T20:00,24.8,0.0,74,11.9
2025-06-06T21:00,23.2,0.0,32,10.4
2025-06-06T22:00,21.9,0.0,0,7.3
2025-06-06T23:00,21.2,0.0,0,6.6
2025-06-07T00:00,20.7,0.0,0,7.7
2025-06-07T01:00,20.3,0.0,0,8.4
2025-06-07T02:00,19.9,0.0,0,7.9
2025-06-07T03:00,19.7,0.0,0,6.0
2025-06-07T04:00,19.1,0.0,0,3.8
2025-06-07T05:00,18.6,0.0,0,1.5
2025-06-07T06:00,18.1,0.0,0,0.8
2025-06-07T07:00,18.7,0.0,5,0.4
2025-06-07T08:00,20.1,0.0,11,1.1
2025-06-07T09:00,22.1,0.0,20,0.8
2025-06-07T10:00,24.5,0.0,52,3.4
2025-06-07T11:00,26.4,0.0,65,8.8
2025-06-07T12:00,28.2,0.0,64,13.8
2025-06-07T13:00,29.0,0.0,54,14.8
2025-06-07T14:00,29.3,0.0,76,15.6
2025-06-07T15:00,29.5,0.0,7,17.2
2025-06-07T16:00,29.3,0.0,74,16.6
2025-06-07T17:00,28.9,0.0,0,16.8
2025-06-07T18:00,28.0,0.0,0,16.8
2025-06-07T19:00,26.9,0.0,0,14.7
2025-06-07T20:00,25.5,0.0,0,11.6
2025-06-07T21:00,24.1,0.0,0,8.6
2025-06-07T22:00,23.0,0.0,0,5.2
2025-06-07T23:00,22.5,0.0,0,4.3
