time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,18.4,0.0,29,2.9
2025-06-06T01:00,19.3,0.0,70,3.7
2025-06-06T02:00,18.6,0.0,35,4.9
2025-06-06T03:00,18.5,0.0,77,3.5
2025-06-06T04:00,17.9,0.0,11,4.2
2025-06-06T05:00,17.9,0.0,5,3.3
2025-06-06T06:00,17.8,0.0,38,4.6
2025-06-06T07:00,19.5,0.0,0,5.2
2025-06-06T08:00,22.7,0.0,0,4.1
2025-06-06T09:00,24.6,0.0,0,9.8
2025-06-06T10:00,25.7,0.0,43,11.4
2025-06-06T11:00,26.3,0.0,9,14.3
2025-06-06T12:00,26.8,0.0,67,14.3
2025-06-06T13:00,27.3,0.0,20,14.8
2025-06-06T14:00,27.4,0.0,13,14.3
2025-06-06T15:00,27.6,0.0,0,14.0
2025-06-06T16:00,27.5,0.0,0,13.2
2025-06-06T17:00,27.4,0.0,0,11.9
2025-06-06T18:00,27.3,0.0,0,8.2
2025-06-06T19:00,26.8,0.0,0,4.2
2025-06-06T20:00,25.0,0.0,0,4.6
2025-06-06T21:00,23.8,0.0,0,3.4
2025-06-06T22:00,22.5,0.0,0,1.9
2025-06-06T23:00,20.3,0.0,23,3.6
2025-06-07T00:00,18.8,0.0,0,3.9
2025-06-07T01:00,18.1,0.0,26,3.3
2025-06-07T02:00,18.0,0.0,36,2.6
2025-06-07T03:00,17.6,0.0,23,3.6
2025-06-07T04:00,17.2,0.0,12,4.3
2025-06-07T05:00,16.8,0.0,28,4.6
2025-06-07T06:00,16.9,0.0,40,4.1
2025-06-07T07:00,18.7,0.0,51,3.3
2025-06-07T08:00,22.2,0.0,63,1.8
2025-06-07T09:00,25.2,0.0,46,2.4
2025-06-07T10:00,26.8,0.0,4,7.9
2025-06-07T11:00,27.9,0.0,5,9.5
2025-06-07T12:00,26.3,0.0,0,9.4
2025-06-07T13:00,29.7,0.0,0,15.1
2025-06-07T14:00,29.2,0.0,0,15.8
2025-06-07T15:00,29.2,0.0,0,16.2
2025-06-07T16:00,29.0,0.0,0,16.9
2025-06-07T17:00,28.8,0.0,0,15.8
2025-06-07T18:00,28.3,0.0,0,12.5
2025-06-07T19:00,28.2,0.0,0,9.7
2025-06-07T20:00,27.1,0.0,0,8.2
2025-06-07T21:00,25.7,0.0,10,6.7
2025-06-07T22:00,23.7,0.0,42,4.7
2025-06-07T23:00,22.7,0.0,39,4.7
