time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-09T00:00,23.2,0.0,62,4.8
2025-06-09T01:00,23.0,0.0,3,5.0
2025-06-09T02:00,22.1,0.0,4,10.0
2025-06-09T03:00,21.4,0.0,10,7.9
2025-06-09T04:00,21.1,0.0,57,7.4
2025-06-09T05:00,20.8,0.0,36,6.9
2025-06-09T06:00,20.6,0.0,75,8.7
2025-06-09T07:00,21.1,0.0,63,9.9
2025-06-09T08:00,21.7,0.0,88,14.4
2025-06-09T09:00,22.6,0.0,65,19.0
2025-06-09T10:00,23.2,0.0,93,21.2
2025-06-09T11:00,23.7,0.0,69,20.5
2025-06-09T12:00,25.1,0.0,80,22.7
2025-06-09T13:00,26.7,0.0,62,23.5
2025-06-09T14:00,27.4,0.0,62,23.8
2025-06-09T15:00,27.6,0.0,67,22.9
2025-06-09T16:00,28.2,0.0,8,21.4
2025-06-09T17:00,27.9,0.0,13,20.0
2025-06-09T18:00,27.1,0.0,10,21.0
2025-06-09T19:00,26.2,0.0,0,19.4
2025-06-09T20:00,24.8,0.0,0,15.8
2025-06-09T21:00,23.2,0.0,0,10.9
2025-06-09T22:00,21.9,0.0,0,6.6
2025-06-09T23:00,21.1,0.0,0,5.8
2025-06-10T00:00,20.6,0.0,0,5.5
2025-06-10T01:00,19.8,0.0,0,5.8
2025-06-10T02:00,19.2,0.0,0,5.4
2025-06-10T03:00,18.4,0.0,0,5.5
2025-06-10T04:00,17.2,0.0,0,5.4
2025-06-10T05:00,16.4,0.0,0,4.8
2025-06-10T06:00,16.1,0.0,0,4.6
2025-06-10T07:00,17.1,0.0,0,3.6
2025-06-10T08:00,19.8,0.0,0,3.4
2025-06-10T09:00,22.5,0.0,0,8.7
2025-06-10T10:00,24.7,0.0,0,9.4
2025-06-10T11:00,26.5,0.0,0,5.9
2025-06-10T12:00,28.0,0.0,0,3.1
2025-06-10T13:00,27.8,0.0,0,10.5
2025-06-10T14:00,27.6,0.0,0,13.9
2025-06-10T15:00,28.1,0.0,0,15.2
2025-06-10T16:00,28.2,0.0,0,15.5
2025-06-10T17:00,28.4,0.0,0,13.0
2025-06-10T18:00,27.9,0.0,0,10.1
2025-06-10T19:00,26.6,0.0,0,7.5
2025-06-10T20:00,26.1,0.0,1,4.5
2025-06-10T21:00,23.1,0.0,100,3.6
2025-06-10T22:00,21.0,0.0,65,4.7
2025-06-10T23:00,19.5,0.0,38,4.6
