time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-09T00:00,23.2,0.0,62,4.8
2025-06-09T01:00,23.0,0.0,3,5.0
2025-06-09T02:00,21.6,0.0,45,5.8
2025-06-09T03:00,21.4,0.0,44,11.5
2025-06-09T04:00,21.1,0.0,44,8.4
2025-06-09T05:00,20.9,0.0,85,8.4
2025-06-09T06:00,20.7,0.0,59,8.9
2025-06-09T07:00,21.0,0.0,77,11.9
2025-06-09T08:00,21.7,0.0,94,13.8
2025-06-09T09:00,22.4,0.0,71,16.9
2025-06-09T10:00,23.2,0.0,96,20.2
2025-06-09T11:00,24.5,0.0,79,20.3
2025-06-09T12:00,25.8,0.0,87,22.7
2025-06-09T13:00,27.0,0.0,60,23.2
2025-06-09T14:00,27.5,0.0,65,22.9
2025-06-09T15:00,27.9,0.0,4,21.6
2025-06-09T16:00,28.3,0.0,4,19.3
2025-06-09T17:00,28.1,0.0,0,20.2
2025-06-09T18:00,27.4,0.0,13,20.5
2025-06-09T19:00,26.3,0.0,0,18.1
2025-06-09T20:00,25.0,0.0,1,14.8
2025-06-09T21:00,23.3,0.0,0,10.5
2025-06-09T22:00,22.1,0.0,0,6.0
2025-06-09T23:00,21.3,0.0,0,5.3
2025-06-10T00:00,20.7,0.0,0,5.2
2025-06-10T01:00,20.1,0.0,0,5.6
2025-06-10T02:00,19.3,0.0,0,5.5
2025-06-10T03:00,18.6,0.0,0,5.5
2025-06-10T04:00,17.6,0.0,0,5.5
2025-06-10T05:00,16.7,0.0,0,5.1
2025-06-10T06:00,16.5,0.0,0,4.4
2025-06-10T07:00,17.4,0.0,0,3.1
2025-06-10T08:00,19.8,0.0,0,2.9
2025-06-10T09:00,22.6,0.0,0,8.0
2025-06-10T10:00,24.7,0.0,0,8.4
2025-06-10T11:00,26.5,0.0,0,5.0
2025-06-10T12:00,28.0,0.0,0,2.4
2025-06-10T13:00,27.5,0.0,0,11.0
2025-06-10T14:00,27.5,0.0,0,12.9
2025-06-10T15:00,28.2,0.0,0,15.1
2025-06-10T16:00,28.2,0.0,0,15.5
2025-06-10T17:00,28.3,0.0,0,12.2
2025-06-10T18:00,27.7,0.0,50,10.2
2025-06-10T19:00,27.0,0.0,0,7.0
2025-06-10T20:00,26.2,0.0,100,4.6
2025-06-10T21:00,23.9,0.0,97,2.5
2025-06-10T22:00,21.4,0.0,100,4.3
2025-06-10T23:00,19.6,0.0,45,4.3
