time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,19.5,0.0,0,1.9
2025-06-06T01:00,19.0,0.0,0,2.1
2025-06-06T02:00,18.0,0.0,63,2.5
2025-06-06T03:00,17.9,0.0,78,1.3
2025-06-06T04:00,18.2,0.0,11,1.0
2025-06-06T05:00,17.8,0.0,0,1.5
2025-06-06T06:00,17.2,0.0,0,1.3
2025-06-06T07:00,17.6,0.0,18,2.3
2025-06-06T08:00,19.0,0.0,14,1.8
2025-06-06T09:00,21.0,0.0,4,4.2
2025-06-06T10:00,23.6,0.0,45,10.2
2025-06-06T11:00,25.2,0.0,72,12.0
2025-06-06T12:00,26.4,0.0,84,13.6
2025-06-06T13:00,27.3,0.0,71,14.4
2025-06-06T14:00,27.9,0.0,75,16.5
2025-06-06T15:00,28.1,0.0,85,17.3
2025-06-06T16:00,28.1,0.0,44,17.1
2025-06-06T17:00,27.7,0.0,0,17.6
2025-06-06T18:00,27.0,0.0,0,16.4
2025-06-06T19:00,26.1,0.0,100,13.9
2025-06-06T20:00,24.6,0.0,39,12.1
2025-06-06T21:00,23.2,0.0,5,11.0
2025-06-06T22:00,21.8,0.0,7,8.2
2025-06-06T23:00,21.1,0.0,0,7.0
2025-06-07T00:00,20.6,0.0,0,7.4
2025-06-07T01:00,20.3,0.0,0,8.0
2025-06-07T02:00,19.9,0.0,47,7.4
2025-06-07T03:00,19.6,0.0,50,7.3
2025-06-07T04:00,19.4,0.0,21,5.4
2025-06-07T05:00,18.8,0.0,1,2.5
2025-06-07T06:00,18.3,0.0,0,1.0
2025-06-07T07:00,18.8,0.0,46,0.4
2025-06-07T08:00,20.2,0.0,38,1.1
2025-06-07T09:00,22.0,0.0,71,0.8
2025-06-07T10:00,24.1,0.0,79,3.9
2025-06-07T11:00,26.3,0.0,62,9.9
2025-06-07T12:00,28.0,0.0,8,14.3
2025-06-07T13:00,29.2,0.0,37,14.3
2025-06-07T14:00,29.1,0.0,76,16.8
2025-06-07T15:00,29.6,0.0,68,16.1
2025-06-07T16:00,29.7,0.0,7,17.6
2025-06-07T17:00,29.1,0.0,0,17.3
2025-06-07T18:00,27.9,0.0,0,17.1
2025-06-07T19:00,26.9,0.0,0,14.0
2025-06-07T20:00,25.6,0.0,0,10.1
2025-06-07T21:00,24.2,0.0,0,6.1
2025-06-07T22:00,23.3,0.0,0,5.5
2025-06-07T23:00,22.5,0.0,0,6.2
