time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-09T00:00,23.2,0.0,62,4.8
2025-06-09T01:00,23.0,0.0,3,5.0
2025-06-09T02:00,21.6,0.0,45,5.8
2025-06-09T03:00,21.4,0.0,44,11.5
2025-06-09T04:00,21.1,0.0,44,8.4
2025-06-09T05:00,21.0,0.0,66,11.2
2025-06-09T06:00,20.8,0.0,82,11.2
2025-06-09T07:00,21.0,0.0,67,13.1
2025-06-09T08:00,21.5,0.0,90,15.7
2025-06-09T09:00,22.3,0.0,71,18.6
2025-06-09T10:00,23.5,0.0,76,21.7
2025-06-09T11:00,24.4,0.0,80,22.2
2025-06-09T12:00,26.0,0.0,87,23.1
2025-06-09T13:00,26.9,0.0,74,23.8
2025-06-09T14:00,27.4,0.0,28,24.1
2025-06-09T15:00,28.2,0.0,23,22.6
2025-06-09T16:00,28.4,0.0,0,20.4
2025-06-09T17:00,28.2,0.0,0,19.8
2025-06-09T18:00,27.6,0.0,0,20.1
2025-06-09T19:00,26.7,0.0,0,17.5
2025-06-09T20:00,25.2,0.0,0,14.3
2025-06-09T21:00,23.5,0.0,0,9.4
2025-06-09T22:00,22.1,0.0,0,5.0
2025-06-09T23:00,21.4,0.0,0,4.0
2025-06-10T00:00,20.7,0.0,0,4.9
2025-06-10T01:00,20.0,0.0,0,5.3
2025-06-10T02:00,19.3,0.0,0,5.5
2025-06-10T03:00,18.7,0.0,0,5.6
2025-06-10T04:00,17.8,0.0,0,5.9
2025-06-10T05:00,16.9,0.0,0,5.1
2025-06-10T06:00,16.6,0.0,0,4.4
2025-06-10T07:00,17.6,0.0,0,3.3
2025-06-10T08:00,20.0,0.0,0,2.5
2025-06-10T09:00,22.8,0.0,0,7.6
2025-06-10T10:00,24.9,0.0,0,8.4
2025-06-10T11:00,26.8,0.0,0,6.2
2025-06-10T12:00,28.2,0.0,0,4.1
2025-06-10T13:00,28.3,0.0,0,9.7
2025-06-10T14:00,27.9,0.0,0,15.1
2025-06-10T15:00,28.1,0.0,0,16.2
2025-06-10T16:00,28.7,0.0,0,14.8
2025-06-10T17:00,28.4,0.0,0,12.0
2025-06-10T18:00,28.0,0.0,0,10.0
2025-06-10T19:00,26.8,0.0,0,7.4
2025-06-10T20:00,26.2,0.0,0,4.9
2025-06-10T21:00,24.2,0.0,19,1.8
2025-06-10T22:00,21.7,0.0,100,5.0
2025-06-10T23:00,19.8,0.0,54,4.9
