time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,cloudcover_mean,windspeed_10m_max
2025-06-09,15.1,19.9,16.7,3.7,69,14.8
2025-06-10,12.6,25.3,19.1,0.0,16,17.1
2025-06-11,14.5,26.9,20.7,0.0,71,14.4
2025-06-12,15.8,24.8,20.3,0.0,35,9.9
2025-06-13,14.8,26.0,21.0,0.0,6,9.0
2025-06-14,15.7,27.1,21.5,0.0,35,6.8
2025-06-15,15.9,28.1,22.0,0.6,74,10.2
2025-06-16,15.6,23.2,18.3,32.4,98,12.2
2025-06-17,13.4,16.0,14.4,0.6,100,12.5
2025-06-18,13.3,25.4,18.8,0.9,68,7.7
