time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,cloudcover_mean,windspeed_10m_max
2025-06-06,17.0,30.6,23.5,0.0,34,14.6
2025-06-07,16.6,31.4,24.1,0.0,37,18.7
2025-06-08,15.4,30.5,20.5,0.8,46,29.2
2025-06-09,14.3,18.8,16.0,3.1,86,7.4
2025-06-10,11.6,22.9,17.6,0.0,4,12.3
2025-06-11,11.1,23.8,18.6,0.0,71,10.0
2025-06-12,13.7,21.5,17.3,0.0,45,7.6
2025-06-13,12.0,26.5,19.4,0.0,4,10.7
2025-06-14,14.7,28.1,21.3,0.0,71,9.4
2025-06-15,15.0,28.1,21.3,0.0,54,8.9
