time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,cloudcover_mean,windspeed_10m_max
2025-06-06,16.9,28.3,22.6,0.0,24,18.9
2025-06-07,18.1,29.5,23.8,0.0,18,17.2
2025-06-08,14.6,29.0,22.7,0.2,34,14.8
2025-06-09,14.3,21.0,17.7,0.1,70,12.2
2025-06-10,10.7,24.7,18.0,0.0,0,10.9
2025-06-11,10.9,26.7,19.4,0.0,28,12.6
2025-06-12,13.2,24.4,18.6,0.0,24,10.9
2025-06-13,12.2,27.6,19.7,0.0,4,12.1
2025-06-14,14.0,28.7,21.3,0.0,85,10.9
2025-06-15,13.9,29.5,21.1,0.0,65,7.0
